time,v_cmd,v_wheel,v_ground,slip_difference
0.015000000000000568,0.0,4.664601154422562e-05,7.451732628799225e-05,-2.787131474376663e-05
0.015999999999998238,0.0,4.664601154422562e-05,3.8975993628515626e-05,7.670017915709992e-06
0.01699999999999946,0.0,4.664601154422562e-05,2.2072923118946014e-05,2.4573088425279604e-05
0.01799999999999713,0.0,4.664601154422562e-05,6.616385879121189e-05,-1.951784724698627e-05
0.01899999999999835,0.0,4.664601154422562e-05,9.473520379933939e-05,-4.808919225511377e-05
0.019999999999999574,0.0,4.664601154422562e-05,6.187040020420735e-05,-1.5224388659981737e-05
0.020999999999997243,0.0,4.664601154422562e-05,3.453406671162547e-05,1.2111944832600145e-05
0.021999999999998465,0.0,4.664601154422562e-05,0.0001373779765252641,-9.073196498103849e-05
0.022999999999999687,0.0,4.664601154422562e-05,7.582199851873078e-05,-2.9175986974505166e-05
0.023999999999997357,0.0,4.664601154422562e-05,4.614052221424827e-05,5.05489329977345e-07
0.02499999999999858,0.0,4.664601154422562e-05,-6.94428374346111e-05,0.00011608884897883671
0.02499999999999858,0.0,4.664601154422562e-05,7.167396822847674e-07,4.592927186194085e-05
0.02699999999999747,0.0,4.664601154422562e-05,-1.8521430874618842e-05,6.516744241884446e-05
0.027999999999998693,0.0,4.664601154422562e-05,5.954925691358665e-05,-1.2903245369361034e-05
0.028999999999999915,0.0,4.664601154422562e-05,0.00011255396526308022,-6.59079537188546e-05
0.029999999999997584,0.0,4.664601154422562e-05,0.00012911511827469046,-8.246910673046484e-05
0.030999999999998806,0.0,4.664601154422562e-05,4.5452555917093505e-05,1.1934556271321132e-06
0.03200000000000003,0.0,4.664601154422562e-05,7.987163224730362e-05,-3.3225620703078e-05
0.0329999999999977,0.0,4.664601154422562e-05,0.00010277718826274591,-5.613117671852029e-05
0.03399999999999892,0.0,4.619394279068508e-05,8.08692113979466e-05,-3.467526860726151e-05
0.03500000000000014,0.0,4.619394279068508e-05,4.894978449362335e-05,-2.7558417029382675e-06
0.03599999999999781,0.0,4.619394279068508e-05,0.00015009433507842657,-0.0001039003922877415
0.036999999999999034,0.0,4.619394279068508e-05,8.264228887859983e-05,-3.644834608791475e-05
0.038000000000000256,0.0,4.619394279068508e-05,3.1906949715050494e-05,1.4286993075634589e-05
0.038999999999997925,0.0,4.619394279068508e-05,6.82595685487741e-05,-2.2065625758089015e-05
0.03999999999999915,0.0,4.619394279068508e-05,5.990854568316639e-05,-1.3714602892481304e-05
0.04100000000000037,0.0,4.619394279068508e-05,2.6133126693604726e-05,2.0060816097080357e-05
